steps,steps_tile,tiles,moved_tiles
48419,44839,100,172
29,23,100,2
10966,9875,100,78
10194,9147,100,79
114218,105389,100,308
15103,13864,100,75
23044,20000,100,118
28106,25915,100,114
7217,6427,100,56
7555,6758,100,62
16575,14729,100,117
447,354,100,17
186692,173090,100,306
21570,19315,100,151
17329,15599,100,128
12473,11264,100,85
298,233,100,7
28632,26538,100,111
20981,18580,100,144
9112,7825,100,77
12122,10423,100,71
13334,12016,100,97
14627,13182,100,102
25622,23390,100,125
10616,9581,100,86
91052,82718,100,352
10188,9163,100,75
43164,38858,100,164
38221,34817,100,135
12556,11206,100,90
9482,7778,100,103
18299,16139,100,154
3872,3300,100,46
8173,7277,100,68
56309,50950,100,196
158594,149334,100,338
42153,38130,100,156
12773,11439,100,97
22269,19807,100,152
12685,11526,100,87
36522,32879,100,143
34659,31324,100,134
12189,10874,100,100
13093,11930,100,90
13642,12318,100,97
43439,40007,100,150
16664,14931,100,108
11109,9891,100,86
9151,7877,100,77
12411,10986,100,99
12026,10487,100,109
11311,10365,100,75
14029,12534,100,106
14725,13097,100,113
15052,13233,100,110
82093,73499,100,286
10347,9419,100,77
9098,8206,100,63
16716,14820,100,75
13495,11897,100,105
17665,16084,100,107
5217,4628,100,49
39,26,100,2
10090,9156,100,76
62285,57318,100,225
81101,74345,100,267
169,129,100,12
6,6,2,0
23570,21686,100,104
15364,14211,100,68
14,14,100,0
228397,209450,100,497
9222,8307,100,72
38712,36299,100,126
10146,9153,100,70
14597,12802,100,117
26744,24997,100,105
7210,6530,100,56
16144,14270,100,122
9184,8391,100,69
290,214,100,16
11602,10524,100,88
13373,12149,100,92
12680,11488,100,92
18772,17673,100,67
31,26,100,5
9436,8460,100,82
16677,15292,100,93
14462,12780,100,103
13345,11663,100,115
15618,13634,100,124
392,309,100,12
16128,14581,100,125
11870,10721,100,85
339730,322671,100,447
12979,11536,100,101
12646,11225,100,97
11585,10399,100,83
7519,6701,100,65
28475,25701,100,136
361391,339208,100,607
8639,7688,100,78
9221,8112,100,79
11025,9976,100,85
9792,8824,100,79
5551,4916,100,51
26788,24682,100,119
219,153,100,10
7617,6902,100,61
47,35,100,3
21748,20034,100,103
28249,24611,100,174
9822,8672,100,77
51910,48595,100,172
36606,33411,100,152
13323,11940,100,98
5,4,2,1
12493,11018,100,97
19528,17728,100,110
15512,13703,100,117
34094,29901,100,186
72894,69270,100,153
18268,16267,100,134
9889,8753,100,79
12392,11162,100,90
12433,11274,100,93
20018,17735,100,150
16172,14521,100,117
11659,10378,100,89
14505,13021,100,100
10262,8847,100,93
9278,8266,100,77
19539,17215,100,112
11659,10319,100,87
7743,7042,100,58
7544,6789,100,57
11767,10578,100,85
15434,13835,100,115
10902,10009,100,77
80043,73035,100,288
16104,14464,100,114
48701,42172,100,208
10278,9143,100,86
11154,9936,100,84
9754,8651,100,80
388,279,100,19
6510,5855,100,50
104682,95439,100,321
2474,1990,100,39
30843,28195,100,127
9578,8645,100,81
9087,8315,100,66
17,15,100,2
70097,65263,100,206
6343,5580,100,44
220,161,100,13
5881,5205,100,60
13447,11885,100,108
10214,9079,100,75
17,15,100,1
3123,2666,100,45
58097,54401,100,189
8454,7638,100,65
32550,28899,100,217
35566,31622,100,155
3155,2621,100,37
6906,6173,100,54
13503,11751,100,107
10687,9498,100,90
1624,1492,100,12
11172,10055,100,74
38657,36262,100,117
134,104,100,7
13818,12087,100,104
28500,25466,100,148
84249,77181,100,295
41977,39422,100,122
19298,17448,100,134
137026,125458,100,347
152529,139336,100,305
46386,42822,100,161
50851,47134,100,209
13231,11533,100,97
9638,8603,100,73
380,281,100,15
41663,38826,100,145
15006,13047,100,100
372553,340590,100,751
257216,235914,100,580
11356,10254,100,85
12669,11151,100,89
15923,14039,100,127
487,371,100,18
8601,7624,100,63
9891,8861,100,72
22581,20688,100,88
8109,7292,100,60
21233,18438,100,129
19647,17665,100,146
19385,16776,100,163
12455,10982,100,102
416,289,100,13
34321,31461,100,155
17502,15301,100,134
33,26,100,2
40725,36870,100,162
222329,204859,100,512
9827,8606,100,81
1902,1365,100,34
12472,11261,100,87
11945,10708,100,94
212,159,100,15
65,49,100,4
15332,13740,100,75
8497,7638,100,67
307,212,100,13
19657,17838,100,88
8726,7891,100,70
61777,56222,100,205
23908,21191,100,143
54224,49686,100,170
22609,19998,100,131
46216,42823,100,148
6637,6049,100,57
18870,16832,100,141
7524,6702,100,59
9486,8402,100,70
42930,38878,100,157
15371,13937,100,106
13611,12142,100,112
8725,7674,100,74
17,17,100,0
10153,9174,100,73
14410,12870,100,111
9622,8484,100,82
8579,7579,100,67
10991,10087,100,72
30297,27699,100,155
12263,11200,100,82
19404,17431,100,123
27004,24001,100,126
7790,7089,100,54
186957,175705,100,270
10324,9188,100,88
74226,67706,100,243
9088,8011,100,72
10615,9530,100,81
43514,40355,100,152
10416,9215,100,87
5091,4577,100,45
32645,30423,100,115
64,45,100,4
60681,53818,100,216
91142,87039,100,145
10092,9020,100,75
14849,13330,100,107
7683,6786,100,64
380172,361119,100,534
12758,11484,100,97
22886,20933,100,122
7886,6940,100,56
